Dataset,Key,Min Value,Max Value
hand.pt,obs,-6.215143203735352,7.355881690979004
hand.pt,next_obs,-15.926342964172363,16.070972442626953
hand.pt,done,0.0,1.0
hand.pt,actions,-6.522258281707764,10.0
hand.pt,ep_found_goal,0.0,1.0
maze.pt,done,0.0,1.0
maze.pt,obs,-2.2415406703948975,2.2944819927215576
maze.pt,next_obs,-5.226255416870117,6.150454998016357
maze.pt,actions,-1.3690392971038818,1.3369845151901245
pick.pt,obs,-10.0,10.0
pick.pt,next_obs,-0.09598632360588599,1.3918687737839208
pick.pt,actions,-6.129215582718946,6.151498900073524
pick.pt,done,0.0,1.0
walker.pt,obs,-3.4688892364501953,3.0617318153381348
walker.pt,next_obs,-10.0,10.0
walker.pt,done,0.0,1.0
walker.pt,actions,-4.671115875244141,3.6902308464050293
ant.pt,obs,-10.0,10.0
ant.pt,next_obs,-18.28291130065918,18.168930053710938
ant.pt,done,0.0,1.0
ant.pt,actions,-5.806655406951904,5.887394428253174
ant.pt,ep_found_goal,0.0,1.0
halfcheetah.pt,obs,-4.428578853607178,9.484105110168457
halfcheetah.pt,next_obs,-27.462566375732422,26.24529457092285
halfcheetah.pt,done,0.0,1.0
halfcheetah.pt,actions,-3.3604419231414795,3.330648422241211
